Bellman-Ford-Moore — Batch Results
Generated   : 2026-04-15 16:42:58
Input file  : C:\Users\helen\Desktop\5800FinalProject_BellmanFord\tests\real_world\p2p-gnutella.txt
Test cases  : 1

  I/O Overhead (shared across all test cases)
  io_read_sec        : 0.002210 s

============================================================
TEST CASE #1
============================================================

  Graph Details
  Representation     : LIST
  Vertices           : 10876
  Edges              : 39994
  Source             : 0

  Performance
  enqueue_count          : 23089
  total_relaxations      : 26825
  enqueue_ratio          : 2.12
  max_enqueues           : 6
  elapsed_sec            : 0.020174 s

  Performance Overhead
  graph_build_sec    : 0.008424 s

  Vertex     Distance        Path from source
  1503       118.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 1503
  1504       204.0           0 → 10 → 144 → 516 → 1652 → 130 → 447 → 1504
  1505       204.0           0 → 10 → 144 → 516 → 1652 → 130 → 447 → 1505
  1506       142.0           0 → 3 → 23 → 109 → 390 → 1348 → 3356 → 5181 → 3933 → 1506
  1507       222.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 453 → 1507
  1508       157.0           0 → 10 → 136 → 1198 → 3125 → 408 → 1367 → 1508
  1509       184.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 453 → 1509
  1510       150.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 453 → 1510
  1511       184.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 453 → 1511
  1512       154.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 453 → 1512
  1513       108.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1513
  1514       197.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 691 → 2111 → 2811 → 1939 → 1514
  1515       202.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 2899 → 9525 → 1515
  1516       176.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2103 → 4406 → 1516
  1517       254.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 131 → 458 → 1517
  1518       196.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 131 → 458 → 1518
  1519       219.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 131 → 458 → 1519
  1520       128.0           0 → 10 → 141 → 510 → 1642 → 2425 → 1520
  1521       132.0           0 → 10 → 137 → 495 → 1281 → 3236 → 5546 → 1521
  1522       215.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 3555 → 5728 → 1522
  1523       235.0           0 → 10 → 137 → 495 → 1604 → 3638 → 1523
  1524       270.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 132 → 464 → 1524
  1525       149.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 1525
  1526       163.0           0 → 10 → 141 → 510 → 1642 → 2543 → 4065 → 1526
  1527       137.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2977 → 5320 → 1330 → 1527
  1528       156.0           0 → 10 → 136 → 8253 → 2006 → 977 → 2741 → 1528
  1529       150.0           0 → 3 → 23 → 109 → 387 → 1335 → 3343 → 1529
  1530       69.0            0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 1530
  1531       192.0           0 → 10 → 137 → 495 → 1281 → 1246 → 1531
  1532       181.0           0 → 3 → 23 → 109 → 390 → 1348 → 3356 → 3351 → 1532
  1533       109.0           0 → 10 → 136 → 1454 → 1533
  1534       80.0            0 → 10 → 137 → 493 → 1597 → 920 → 1534
  1535       59.0            0 → 10 → 137 → 493 → 1597 → 920 → 1535
  1536       113.0           0 → 3 → 23 → 115 → 397 → 1354 → 2354 → 1536
  1537       90.0            0 → 10 → 137 → 493 → 1597 → 920 → 1537
  1538       144.0           0 → 3 → 23 → 115 → 397 → 1197 → 3121 → 1538
  1539       235.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 198 → 713 → 474 → 1539
  1540       207.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 198 → 713 → 474 → 1540
  1541       165.0           0 → 3 → 23 → 109 → 387 → 1339 → 3338 → 4564 → 1541
  1542       179.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 198 → 713 → 474 → 1542
  1543       169.0           0 → 10 → 137 → 493 → 1597 → 920 → 1534 → 1243 → 1543
  1544       216.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2102 → 4401 → 6519 → 1544
  1545       125.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 1919 → 1545
  1546       172.0           0 → 10 → 136 → 1198 → 3125 → 889 → 1546
  1547       135.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2417 → 911 → 4673 → 1547
  1548       231.0           0 → 3 → 23 → 109 → 390 → 1348 → 3356 → 3351 → 2518 → 2855 → 5222 → 1548
  1549       213.0           0 → 8 → 39 → 157 → 562 → 1766 → 1549
  1550       118.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2408 → 2196 → 1550
  1551       157.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 4077 → 5233 → 1551
  1552       120.0           0 → 10 → 144 → 516 → 1299 → 901 → 1552
  1553       105.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2977 → 5320 → 167 → 615 → 1553
  1554       227.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 842 → 2281 → 467 → 1554
  1555       170.0           0 → 10 → 137 → 495 → 893 → 867 → 2523 → 1555
  1556       187.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 2899 → 6656 → 1556
  1557       245.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 842 → 2281 → 467 → 1557
  1558       181.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 407 → 1364 → 3380 → 1053 → 1558
  1559       225.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 842 → 2281 → 467 → 1559
  1560       161.0           0 → 3 → 25 → 101 → 314 → 1121 → 270 → 1050 → 2830 → 1560
  1561       226.0           0 → 8 → 38 → 125 → 476 → 1561
  1562       119.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2977 → 5320 → 167 → 615 → 1553 → 1562
  1563       151.0           0 → 3 → 23 → 109 → 387 → 1339 → 3338 → 4564 → 1563
  1564       231.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 4077 → 851 → 566 → 1564
  1565       190.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2408 → 2196 → 1711 → 3920 → 4536 → 1565
  1566       192.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 4268 → 6419 → 2520 → 1566
  1567       199.0           0 → 8 → 38 → 125 → 476 → 1567
  1568       173.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2094 → 1568
  1569       228.0           0 → 8 → 38 → 121 → 480 → 1569
  1570       215.0           0 → 8 → 38 → 121 → 480 → 1570
  1571       198.0           0 → 8 → 38 → 121 → 480 → 1571
  1572       201.0           0 → 8 → 38 → 121 → 480 → 1572
  1573       179.0           0 → 10 → 141 → 510 → 1642 → 2425 → 265 → 484 → 1573
  1574       165.0           0 → 10 → 141 → 510 → 1642 → 2425 → 265 → 484 → 1574
  1575       135.0           0 → 3 → 23 → 115 → 397 → 1353 → 2144 → 683 → 2057 → 2411 → 1575
  1576       131.0           0 → 10 → 141 → 510 → 1642 → 2425 → 265 → 484 → 1576
  1577       209.0           0 → 10 → 141 → 510 → 1642 → 2425 → 265 → 484 → 1577
  1578       135.0           0 → 10 → 137 → 493 → 1597 → 349 → 698 → 5020 → 1578
  1579       153.0           0 → 3 → 25 → 101 → 315 → 1158 → 1579
  1580       145.0           0 → 10 → 137 → 493 → 1597 → 349 → 1258 → 5901 → 1359 → 2486 → 6168 → 1580
  1581       203.0           0 → 10 → 136 → 1198 → 3125 → 889 → 1581
  1582       190.0           0 → 8 → 38 → 121 → 483 → 1582
  1583       186.0           0 → 10 → 137 → 495 → 893 → 261 → 938 → 2672 → 1583
  1584       189.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 3555 → 3282 → 3925 → 9828 → 1584
  1585       197.0           0 → 8 → 38 → 121 → 487 → 1585
  1586       113.0           0 → 10 → 136 → 8253 → 2006 → 1586
  1587       194.0           0 → 8 → 38 → 121 → 487 → 1587
  1588       159.0           0 → 10 → 137 → 495 → 893 → 261 → 935 → 2683 → 263 → 1588
  1589       97.0            0 → 10 → 137 → 493 → 1597 → 349 → 698 → 1589
  1590       157.0           0 → 8 → 38 → 121 → 487 → 1590
  1591       194.0           0 → 8 → 38 → 121 → 487 → 1591
  1592       197.0           0 → 10 → 144 → 516 → 1652 → 1111 → 2976 → 2261 → 3054 → 5376 → 1592
  1593       166.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1967 → 344 → 1214 → 3164 → 1593
  1594       184.0           0 → 8 → 38 → 121 → 489 → 1594
  1595       170.0           0 → 10 → 137 → 493 → 1597 → 920 → 1537 → 3060 → 750 → 2250 → 3399 → 1595
  1596       170.0           0 → 8 → 38 → 121 → 489 → 1596
  1597       39.0            0 → 10 → 137 → 493 → 1597
  1598       84.0            0 → 10 → 141 → 510 → 1642 → 1598
  1599       86.0            0 → 10 → 137 → 495 → 1599
  1600       137.0           0 → 10 → 137 → 495 → 1600
  1601       160.0           0 → 10 → 137 → 495 → 1601
  1602       144.0           0 → 10 → 137 → 495 → 1602
  1603       134.0           0 → 10 → 137 → 495 → 1603
  1604       121.0           0 → 10 → 137 → 495 → 1604
  1605       117.0           0 → 10 → 137 → 495 → 1281 → 1246 → 1605
  1606       92.0            0 → 10 → 137 → 493 → 1597 → 349 → 698 → 5020 → 1606
  1607       153.0           0 → 3 → 23 → 109 → 387 → 1339 → 498 → 1607
  1608       145.0           0 → 3 → 23 → 109 → 387 → 1339 → 498 → 1608
  1609       79.0            0 → 3 → 23 → 109 → 387 → 1339 → 498 → 1609
  1610       157.0           0 → 3 → 23 → 109 → 387 → 1339 → 498 → 1610
  1611       142.0           0 → 3 → 23 → 109 → 387 → 1339 → 498 → 1611
  1612       125.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2417 → 911 → 1612
  1613       112.0           0 → 3 → 23 → 115 → 397 → 1354 → 6885 → 1613
  1614       143.0           0 → 10 → 141 → 507 → 1614
  1615       143.0           0 → 10 → 141 → 507 → 1615
  1616       136.0           0 → 10 → 137 → 495 → 893 → 1072 → 992 → 1616
  1617       81.0            0 → 10 → 141 → 507 → 1617
  1618       128.0           0 → 10 → 141 → 507 → 1618
  1619       132.0           0 → 10 → 137 → 496 → 1619
  1620       126.0           0 → 10 → 137 → 496 → 1620
  1621       134.0           0 → 10 → 137 → 496 → 1621
  1622       111.0           0 → 10 → 137 → 496 → 1622
  1623       102.0           0 → 10 → 137 → 496 → 1623
  1624       126.0           0 → 10 → 137 → 496 → 1624
  1625       149.0           0 → 10 → 137 → 496 → 1625
  1626       167.0           0 → 10 → 137 → 289 → 1070 → 2527 → 1626
  1627       67.0            0 → 3 → 23 → 116 → 512 → 1627
  1628       152.0           0 → 3 → 23 → 116 → 512 → 1628
  1629       128.0           0 → 3 → 23 → 116 → 512 → 1629
  1630       148.0           0 → 3 → 23 → 116 → 512 → 1630
  1631       130.0           0 → 3 → 23 → 115 → 397 → 1354 → 1631
  1632       96.0            0 → 3 → 23 → 116 → 512 → 1632
  1633       71.0            0 → 3 → 23 → 116 → 512 → 1633
  1634       59.0            0 → 3 → 23 → 116 → 512 → 1634
  1635       99.0            0 → 3 → 23 → 116 → 512 → 1635
  1636       110.0           0 → 10 → 141 → 510 → 1636
  1637       108.0           0 → 10 → 141 → 510 → 1637
  1638       93.0            0 → 10 → 141 → 510 → 1638
  1639       156.0           0 → 10 → 141 → 510 → 1639
  1640       63.0            0 → 10 → 141 → 510 → 1640
  1641       106.0           0 → 10 → 141 → 510 → 1641
  1642       69.0            0 → 10 → 141 → 510 → 1642
  1643       191.0           0 → 3 → 23 → 109 → 390 → 1348 → 3356 → 5181 → 237 → 820 → 2356 → 1643
  1644       179.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 696 → 531 → 1644
  1645       186.0           0 → 10 → 144 → 515 → 1645
  1646       216.0           0 → 10 → 144 → 515 → 1646
  1647       188.0           0 → 10 → 144 → 515 → 1647
  1648       171.0           0 → 10 → 137 → 495 → 893 → 1072 → 264 → 954 → 1648
  1649       46.0            0 → 10 → 144 → 516 → 1649
  1650       79.0            0 → 10 → 144 → 516 → 1650
  1651       67.0            0 → 10 → 144 → 516 → 1651
  1652       47.0            0 → 10 → 144 → 516 → 1652
  1653       97.0            0 → 10 → 144 → 519 → 1653
  1654       96.0            0 → 10 → 144 → 519 → 1654
  1655       122.0           0 → 10 → 144 → 519 → 1655
  1656       107.0           0 → 10 → 144 → 519 → 1656
  1657       126.0           0 → 10 → 144 → 519 → 1657
  1658       117.0           0 → 10 → 144 → 519 → 1658
  1659       89.0            0 → 10 → 144 → 519 → 1659
  1660       61.0            0 → 10 → 144 → 519 → 1660
  1661       220.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 4855 → 5577 → 1661
  1662       150.0           0 → 10 → 144 → 519 → 1658 → 1662
  1663       82.0            0 → 10 → 141 → 510 → 1642 → 1663
  1664       130.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 1503 → 1664
  1665       152.0           0 → 3 → 25 → 101 → 314 → 1122 → 1665
  1666       220.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 1525 → 1666
  1667       111.0           0 → 10 → 137 → 493 → 1597 → 920 → 1534 → 1667
  1668       79.0            0 → 10 → 144 → 519 → 1660 → 1668
  1669       172.0           0 → 3 → 25 → 101 → 318 → 527 → 1669
  1670       182.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 2273 → 1785 → 4038 → 4575 → 1670
  1671       216.0           0 → 3 → 25 → 101 → 318 → 527 → 1671
  1672       172.0           0 → 3 → 25 → 101 → 318 → 527 → 1672
  1673       100.0           0 → 10 → 144 → 519 → 1660 → 1673
  1674       253.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 696 → 531 → 1674
  1675       152.0           0 → 10 → 137 → 495 → 893 → 1072 → 264 → 956 → 1675
  1676       201.0           0 → 10 → 141 → 510 → 1642 → 2425 → 265 → 1031 → 1459 → 2393 → 4728 → 1676
  1677       187.0           0 → 10 → 141 → 510 → 1640 → 2145 → 4475 → 1677
  1678       158.0           0 → 10 → 136 → 1116 → 1678
  1679       260.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 696 → 531 → 1679
  1680       192.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2124 → 4356 → 1680
  1681       159.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1681
  1682       172.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1682
  1683       120.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1683
  1684       208.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1684
  1685       160.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1685
  1686       193.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1686
  1687       170.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 1687
  1688       109.0           0 → 3 → 25 → 101 → 314 → 535 → 1688
  1689       111.0           0 → 3 → 25 → 101 → 314 → 535 → 1689
  1690       166.0           0 → 10 → 141 → 504 → 1782 → 570 → 6043 → 2775 → 1107 → 1690
  1691       183.0           0 → 3 → 25 → 101 → 314 → 535 → 1691
  1692       153.0           0 → 3 → 25 → 101 → 314 → 535 → 1692
  1693       148.0           0 → 3 → 25 → 101 → 314 → 535 → 1693
  1694       167.0           0 → 3 → 25 → 101 → 314 → 535 → 1694
  1695       197.0           0 → 3 → 25 → 101 → 314 → 535 → 1695
  1696       186.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1696
  1697       115.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2408 → 2196 → 1697
  1698       143.0           0 → 10 → 141 → 504 → 1782 → 570 → 6043 → 2579 → 1698
  1699       135.0           0 → 10 → 144 → 516 → 945 → 1699
  1700       131.0           0 → 3 → 23 → 109 → 387 → 1339 → 3338 → 3652 → 1700
  1701       184.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 545 → 1701
  1702       187.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 545 → 1702
  1703       210.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 545 → 1703
  1704       142.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 545 → 1704
  1705       208.0           0 → 3 → 26 → 97 → 871 → 1705
  1706       157.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 545 → 1706
  1707       224.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 2421 → 545 → 1707
  1708       148.0           0 → 10 → 137 → 495 → 1604 → 1708
  1709       197.0           0 → 8 → 38 → 121 → 485 → 1709
  1710       213.0           0 → 10 → 137 → 493 → 1597 → 349 → 1258 → 5901 → 1359 → 567 → 1827 → 3826 → 5860 → 2351 → 853 → 1710
  1711       134.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2408 → 2196 → 1711
  1712       211.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 4034 → 3556 → 2721 → 1712
  1713       171.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2127 → 2359 → 4693 → 5612 → 1713
  1714       155.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 2326 → 2550 → 1714
  1715       221.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2650 → 4855 → 547 → 1715
  1716       114.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2127 → 4451 → 1716
  1717       137.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 4034 → 1717
  1718       168.0           0 → 10 → 137 → 493 → 1597 → 1903 → 3225 → 1718
  1719       165.0           0 → 10 → 137 → 493 → 1597 → 349 → 1258 → 5901 → 1359 → 567 → 1827 → 3826 → 6041 → 7589 → 1719
  1720       141.0           0 → 10 → 136 → 1454 → 1720
  1721       139.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 4807 → 1721
  1722       196.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2977 → 5320 → 167 → 611 → 1722
  1723       76.0            0 → 10 → 141 → 510 → 1642 → 2543 → 1723
  1724       78.0            0 → 10 → 141 → 511 → 1724
  1725       249.0           0 → 3 → 20 → 54 → 153 → 549 → 1725
  1726       232.0           0 → 3 → 20 → 54 → 153 → 549 → 1726
  1727       200.0           0 → 3 → 20 → 54 → 153 → 550 → 1727
  1728       185.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2410 → 4769 → 3767 → 1728
  1729       124.0           0 → 10 → 141 → 510 → 1640 → 2145 → 1729
  1730       109.0           0 → 3 → 23 → 115 → 397 → 1356 → 1730
  1731       176.0           0 → 3 → 25 → 101 → 318 → 1167 → 1731
  1732       173.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2695 → 1732
  1733       183.0           0 → 10 → 137 → 496 → 1624 → 1733
  1734       275.0           0 → 3 → 20 → 54 → 153 → 550 → 1734
  1735       242.0           0 → 3 → 20 → 54 → 153 → 550 → 1735
  1736       212.0           0 → 3 → 20 → 54 → 153 → 550 → 1736
  1737       170.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 3305 → 5256 → 453 → 1512 → 1737
  1738       176.0           0 → 8 → 39 → 157 → 556 → 1738
  1739       126.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 691 → 1739
  1740       216.0           0 → 8 → 39 → 157 → 556 → 1740
  1741       100.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 691 → 2111 → 1741
  1742       248.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 4570 → 1493 → 3615 → 1742
  1743       260.0           0 → 3 → 23 → 115 → 397 → 1197 → 2532 → 4905 → 1743
  1744       162.0           0 → 3 → 23 → 115 → 397 → 1354 → 6885 → 4395 → 1744
  1745       234.0           0 → 10 → 144 → 516 → 1652 → 1111 → 2976 → 2261 → 2331 → 1745
  1746       151.0           0 → 3 → 23 → 115 → 397 → 1197 → 1746
  1747       118.0           0 → 3 → 23 → 116 → 512 → 1633 → 1747
  1748       193.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 1234 → 1748
  1749       211.0           0 → 8 → 39 → 157 → 563 → 1749
  1750       198.0           0 → 8 → 39 → 157 → 563 → 1750
  1751       190.0           0 → 3 → 23 → 112 → 352 → 1263 → 2535 → 3065 → 1751
  1752       136.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 4806 → 3908 → 1752
  1753       213.0           0 → 8 → 39 → 157 → 563 → 1753
  1754       153.0           0 → 3 → 23 → 115 → 397 → 1353 → 963 → 691 → 411 → 1415 → 1754
  1755       171.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2099 → 133 → 1755
  1756       229.0           0 → 8 → 39 → 157 → 563 → 1756
  1757       186.0           0 → 10 → 144 → 516 → 1299 → 3274 → 4864 → 2662 → 3196 → 1757
  1758       168.0           0 → 10 → 137 → 493 → 1597 → 920 → 1537 → 1030 → 1758
  1759       85.0            0 → 10 → 137 → 493 → 1597 → 1042 → 1759
  1760       77.0            0 → 3 → 23 → 115 → 397 → 1354 → 1760
  1761       104.0           0 → 10 → 141 → 507 → 565 → 1761
  1762       166.0           0 → 10 → 141 → 507 → 565 → 1762
  1763       197.0           0 → 3 → 26 → 89 → 272 → 983 → 2785 → 1763
  1764       164.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2408 → 2196 → 1697 → 3903 → 1764
  1765       126.0           0 → 10 → 141 → 510 → 1642 → 1663 → 3413 → 1765
  1766       160.0           0 → 8 → 39 → 157 → 562 → 1766
  1767       184.0           0 → 8 → 39 → 157 → 562 → 1767
  1768       203.0           0 → 8 → 39 → 157 → 562 → 1768
  1769       196.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2407 → 4699 → 6758 → 1769
  1770       208.0           0 → 10 → 141 → 510 → 1642 → 1663 → 185 → 3578 → 5831 → 7521 → 9134 → 1770
  1771       187.0           0 → 10 → 137 → 289 → 1070 → 8832 → 1771
  1772       152.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 568 → 1772
  1773       136.0           0 → 3 → 23 → 115 → 397 → 1354 → 1760 → 1773
  1774       181.0           0 → 3 → 23 → 112 → 358 → 1292 → 3256 → 1774
  1775       191.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 4077 → 851 → 566 → 1775
  1776       181.0           0 → 3 → 23 → 113 → 360 → 1294 → 1776
  1777       137.0           0 → 10 → 137 → 493 → 1597 → 1042 → 1997 → 2264 → 3554 → 669 → 1777
  1778       132.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2128 → 1778
  1779       153.0           0 → 3 → 23 → 109 → 387 → 1334 → 533 → 571 → 1779
  1780       84.0            0 → 10 → 141 → 504 → 1780
  1781       116.0           0 → 3 → 23 → 109 → 387 → 1334 → 1781
  1782       72.0            0 → 10 → 141 → 504 → 1782
  1783       91.0            0 → 10 → 141 → 504 → 1783
  1784       108.0           0 → 10 → 141 → 504 → 1784
  1785       141.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 2273 → 1785
  1786       164.0           0 → 3 → 23 → 115 → 397 → 1356 → 1786
  1787       157.0           0 → 10 → 141 → 510 → 1642 → 2425 → 265 → 1031 → 1459 → 3562 → 5310 → 1787
  1788       210.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1867 → 3665 → 576 → 1788
  1789       147.0           0 → 10 → 137 → 495 → 1281 → 3236 → 2268 → 1368 → 3378 → 1789
  1790       252.0           0 → 3 → 23 → 109 → 387 → 1334 → 3337 → 1185 → 2560 → 1790
  1791       177.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 693 → 2102 → 4401 → 1791
  1792       176.0           0 → 1 → 17 → 81 → 2738 → 577 → 1792
  1793       236.0           0 → 1 → 17 → 81 → 2738 → 577 → 1793
  1794       183.0           0 → 3 → 23 → 115 → 397 → 1354 → 1760 → 4002 → 2489 → 3377 → 5690 → 1794
  1795       166.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2127 → 1940 → 3384 → 3599 → 2367 → 1795
  1796       210.0           0 → 1 → 17 → 81 → 2738 → 577 → 1796
  1797       166.0           0 → 3 → 23 → 109 → 387 → 1339 → 3078 → 5403 → 1797
  1798       237.0           0 → 3 → 23 → 115 → 397 → 1354 → 2354 → 1536 → 2944 → 1798
  1799       221.0           0 → 10 → 137 → 493 → 1597 → 920 → 187 → 699 → 2127 → 2359 → 955 → 1799
  1800       230.0           0 → 10 → 137 → 495 → 893 → 1072 → 2904 → 3156 → 1800
  1801       119.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 838 → 2408 → 2196 → 1697 → 1801
  1802       62.0            0 → 10 → 144 → 519 → 1660 → 1802
  1803       230.0           0 → 8 → 39 → 162 → 575 → 1803
  1804       228.0           0 → 8 → 39 → 162 → 575 → 1804
  1805       190.0           0 → 10 → 144 → 519 → 1655 → 1805
  1806       190.0           0 → 10 → 141 → 504 → 1782 → 4035 → 1806
  1807       214.0           0 → 3 → 23 → 112 → 352 → 1263 → 2363 → 4555 → 1807
  1808       106.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 1808
  1809       179.0           0 → 3 → 23 → 115 → 397 → 1354 → 1760 → 1943 → 4197 → 5663 → 5903 → 1809
  1810       217.0           0 → 10 → 137 → 493 → 1597 → 920 → 1534 → 2336 → 4655 → 580 → 1810
  1811       197.0           0 → 1 → 17 → 84 → 6338 → 1811
  1812       230.0           0 → 10 → 136 → 1198 → 3125 → 127 → 2364 → 4660 → 581 → 1812
  1813       112.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 1813
  1814       191.0           0 → 10 → 137 → 493 → 1597 → 920 → 1537 → 3060 → 750 → 2250 → 3399 → 1814
  1815       206.0           0 → 10 → 137 → 493 → 1597 → 349 → 698 → 2285 → 1815
  1816       111.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 756 → 1816
  1817       128.0           0 → 3 → 23 → 109 → 387 → 1334 → 630 → 1817
  1818       201.0           0 → 1 → 17 → 84 → 4657 → 6102 → 1818
  1819       166.0           0 → 10 → 144 → 516 → 945 → 850 → 1819
  1820       197.0           0 → 10 → 137 → 495 → 893 → 1072 → 2904 → 1820
  1821       193.0           0 → 3 → 23 → 109 → 387 → 1334 → 630 → 1932 → 192 → 688 → 2080 → 1821
  1822       218.0           0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 702 → 2977 → 5320 → 167 → 611 → 1822
  1823       118.0           0 → 10 → 137 → 493 → 1597 → 349 → 1258 → 5901 → 1359 → 567 → 1823
  1824       125.0           0 → 10 → 137 → 493 → 1597 → 349 → 1258 → 5901 → 1359 → 567 → 1824
